工作项类型,Story ID,标题,模块,Epic ID,Epic 名称,Epic 目标,优先级,阶段,Sprint,估时(天),依赖,主责角色,验收标准,状态
Story,M2-S03,[M2-S03] 邻接功能点点击切换,M2 业务资产链,M2-E1,业务脊柱,展示功能点在业务层级中的位置,P0,MVP,Sprint 2,0.5,M2-S02;M6-S05,前端,点击邻接功能点地图切换且URL更新；场景上下文保持不变,待开始
Story,M2-S04,[M2-S04] 场景列表聚合逻辑,M2 业务资产链,M2-E2,场景列,展示功能点下业务场景及覆盖情况,P0,MVP,Sprint 2,0.5,M1-S04,后端,从正式资产testScenario去重；无testScenario时回退scene名,待开始
Story,M2-S05,[M2-S05] 实现 ScenarioColumn 组件,M2 业务资产链,M2-E2,场景列,展示功能点下业务场景及覆盖情况,P0,MVP,Sprint 2,0.5,M2-S04,前端,场景列表与计数展示；支持选中高亮,待开始
Story,M2-S06,[M2-S06] 场景选中过滤用例,M2 业务资产链,M2-E2,场景列,展示功能点下业务场景及覆盖情况,P1,二期,Backlog,0.5,M2-S05;M2-S08,前端,选中场景后用例列只显示该场景用例；取消选中恢复全部,待开始
Story,M2-S07,[M2-S07] 功能点用例查询（正式资产）,M2 业务资产链,M2-E3,用例列,展示功能点挂载的正式用例资产,P0,MVP,Sprint 1,1,,后端,仅返回已确认非归档用例；支持按feature+scene过滤,已完成
Story,M2-S08,[M2-S08] 实现 CaseColumn 组件,M2 业务资产链,M2-E3,用例列,展示功能点挂载的正式用例资产,P0,MVP,Sprint 2,1,M2-S07,前端,展示用例ID/名称/优先级/测试场景；支持列内单选高亮,待开始
Story,M2-S09,[M2-S09] 用例快捷过滤,M2 业务资产链,M2-E3,用例列,展示功能点挂载的正式用例资产,P0,MVP,Sprint 2,0.5,M2-S08,前端,输入关键字过滤用例名称；无匹配时显示空态,待开始
Story,M2-S10,[M2-S10] 脚本关联与推导逻辑,M2 业务资产链,M2-E4,脚本列,展示用例关联的自动化脚本,P0,MVP,Sprint 2,0.5,M2-S07;M3-S03,后端,有用例脚本时展示真实脚本；无脚本时由api.path推导json名,待开始
Story,M2-S11,[M2-S11] 实现 ScriptColumn 组件,M2 业务资产链,M2-E4,脚本列,展示用例关联的自动化脚本,P0,MVP,Sprint 2,0.5,M2-S10,前端,展示脚本名/类型/状态；支持选中高亮,待开始
Story,M2-S12,[M2-S12] 实现 DataColumn 组件,M2 业务资产链,M2-E5,数据与执行列,补齐测试数据模板与执行历史,P1,二期,Backlog,0.5,M2-S07,前端,展示数据模板ID/名称；MVP可用静态mock数据,待开始
Story,M2-S13,[M2-S13] 实现 ExecutionColumn 组件,M2 业务资产链,M2-E5,数据与执行列,补齐测试数据模板与执行历史,P1,二期,Backlog,1,自动化平台,前端,展示近3次执行结果；对接自动化平台真实数据,待开始
Story,M2-S14,[M2-S14] 数据模板与场景绑定,M2 业务资产链,M2-E5,数据与执行列,补齐测试数据模板与执行历史,P1,二期,Backlog,0.5,M2-S12,前端,数据模板可关联到场景；选中场景时高亮对应数据,待开始
Story,M3-S01,[M3-S01] 接入 feature_api_map 数据源,M3 技术映射,M3-E1,知识库映射接入,将功能点与接口、流程节点关联,P0,MVP,Sprint 1,1,,后端,按功能点名命中接口映射；主接口优先排序,已完成
Story,M3-S02,[M3-S02] 接入 quote.json flowNodes,M3 技术映射,M3-E1,知识库映射接入,将功能点与接口、流程节点关联,P0,MVP,Sprint 1,0.5,,后端,读取flowNodes配置；与API映射节点合并去重,已完成
Story,M3-S03,[M3-S03] 实现 resolveApiEntries 服务化,M3 技术映射,M3-E1,知识库映射接入,将功能点与接口、流程节点关联,P0,MVP,Sprint 1,1,M3-S01;M3-S02,后端,返回apis/flowNodes/service/source；无映射时有回退接口,已完成
Story,M3-S04,[M3-S04] 实现 TechMappingStrip 组件,M3 技术映射,M3-E2,技术映射展示,页面展示技术链路,P0,MVP,Sprint 2,1,M3-S03,前端,五列技术信息横向展示；映射来源标签展示,待开始
Story,M3-S05,[M3-S05] 展示应用/流程节点/接口,M3 技术映射,M3-E2,技术映射展示,页面展示技术链路,P0,MVP,Sprint 2,0.5,M3-S04,前端,应用/流程节点/接口chip正确渲染；接口数量提示正确,待开始
Story,M3-S06,[M3-S06] 展示数据表/消息/代码模块,M3 技术映射,M3-E2,技术映射展示,页面展示技术链路,P1,二期,Backlog,0.5,M3-S04,前端,表/消息/代码模块可展示；无数据时显示暂无,待开始
Story,M3-S07,[M3-S07] 点击接口跳转影响分析,M3 技术映射,M3-E2,技术映射展示,页面展示技术链路,P1,二期,Backlog,0.5,M7-S04,前端,点击接口chip跳转影响分析页；携带api参数,待开始
Story,M4-S01,[M4-S01] 关联用例数与 P 级分布统计,M4 质量度量,M4-E1,指标计算,计算功能点质量摘要指标,P0,MVP,Sprint 2,1,M2-S07,后端,linkedCaseCount与资产库一致；P0~P3数量与占比正确,待开始
Story,M4-S02,[M4-S02] 自动化覆盖率计算,M4 质量度量,M4-E1,指标计算,计算功能点质量摘要指标,P0,MVP,Sprint 2,0.5,M2-S10,后端,有脚本用例/总用例=自动化率；MVP可用推导规则,待开始
Story,M4-S03,[M4-S03] 缺口数量统计,M4 质量度量,M4-E1,指标计算,计算功能点质量摘要指标,P1,二期,Backlog,0.5,地图v1 JSON,后端,从test_map按流程节点聚合缺口；summary.gapCount正确,待开始
Story,M4-S04,[M4-S04] 实现 QualitySummary 组件,M4 质量度量,M4-E2,质量总览展示,右侧质量摘要卡片,P0,MVP,Sprint 2,1,M4-S01;M4-S02,前端,展示关联用例/自动化率进度条；数据来自summary接口,待开始
Story,M4-S05,[M4-S05] 甜甜圈图与 P 级图例,M4 质量度量,M4-E2,质量总览展示,右侧质量摘要卡片,P0,MVP,Sprint 2,0.5,M4-S04,前端,甜甜圈中心显示用例总数；P0~P3占比文字正确,待开始
Story,M4-S06,[M4-S06] 缺陷数与负责人展示,M4 质量度量,M4-E2,质量总览展示,右侧质量摘要卡片,P1,二期,Backlog,0.5,M5-S03,前端,近30天缺陷数展示；负责人/更新时间展示,待开始
Story,M5-S01,[M5-S01] 规则匹配与聚合逻辑,M5 风险与规则,M5-E1,规则与标签,展示业务规则与风险标签,P0,MVP,Sprint 2,1,M3-S02,后端,按功能点名/关键词匹配规则；返回规则ID/名称/来源,待开始
Story,M5-S02,[M5-S02] 风险标签生成逻辑,M5 风险与规则,M5-E1,规则与标签,展示业务规则与风险标签,P0,MVP,Sprint 2,0.5,M1-S04,后端,金额类功能点标高风险/金额计算；审核类标核心链路,待开始
Story,M5-S03,[M5-S03] 实现 RiskPanel 组件,M5 风险与规则,M5-E1,规则与标签,展示业务规则与风险标签,P0,MVP,Sprint 2,1,M5-S01;M5-S02,前端,规则/标签分区展示；无规则时显示待校准,待开始
Story,M5-S04,[M5-S04] 缺陷数据接入（mock）,M5 风险与规则,M5-E2,缺陷关联,展示历史缺陷关联,P1,二期,Backlog,0.5,,后端,返回近30天缺陷列表；接口预留真实缺陷系统对接,待开始
Story,M5-S05,[M5-S05] 缺陷列表展示与跳转,M5 风险与规则,M5-E2,缺陷关联,展示历史缺陷关联,P1,二期,Backlog,0.5,M5-S04,前端,RiskPanel展示BUG ID与标题；点击可跳转缺陷详情,待开始
Story,M6-S01,[M6-S01] 实现 FeatureMapSearchBar,M6 地图检索与导航,M6-E1,地图内搜索,地图内多维搜索与过滤,P0,MVP,Sprint 2,1,M2-S08,前端,支持用例/功能点/场景/接口/综合维度；支持搜索/清空,待开始
Story,M6-S02,[M6-S02] 多维度搜索过滤逻辑,M6 地图检索与导航,M6-E1,地图内搜索,地图内多维搜索与过滤,P0,MVP,Sprint 2,1,M6-S01,前端,过滤场景/用例/脚本列节点；显示命中数量提示,待开始
Story,M6-S03,[M6-S03] 正式资产库命中提示,M6 地图检索与导航,M6-E1,地图内搜索,地图内多维搜索与过滤,P0,MVP,Sprint 3,0.5,M6-S02,前端,展示正式资产库相关命中列表；可跳转资产库查看,待开始
Story,M6-S04,[M6-S04] 面包屑与页面 Header,M6 地图检索与导航,M6-E2,导航与状态,页面导航与异常状态,P0,MVP,Sprint 2,0.5,M1-S08,前端,面包屑可回总览/资产库；标题显示当前功能点,待开始
Story,M6-S05,[M6-S05] featureKey 路由切换,M6 地图检索与导航,M6-E2,导航与状态,页面导航与异常状态,P0,MVP,Sprint 2,0.5,M1-S01,前端,URL与featureKey同步；浏览器前进后退正常,待开始
Story,M6-S06,[M6-S06] 空态/弱映射/加载/错误态,M6 地图检索与导航,M6-E2,导航与状态,页面导航与异常状态,P0,MVP,Sprint 2,0.5,M1-S08,前端,无资产/无映射/加载中/接口失败四类态有UI；失败可重试,待开始
Story,M6-S07,[M6-S07] 路径高亮（场景→用例→接口）,M6 地图检索与导航,M6-E2,导航与状态,页面导航与异常状态,P1,二期,Backlog,1.5,M2-S08;M3-S04,前端,选中用例后高亮关联场景与接口；取消选中恢复,待开始
Story,M7-S01,[M7-S01] 按功能点生成回归包接口,M7 回归与影响分析,M7-E1,回归包,按功能点生成回归包,P0,MVP,Sprint 3,1,M2-S07,全栈,输入featureKey返回用例清单；用例来自正式资产,待开始
Story,M7-S02,[M7-S02] 地图页「生成回归包」按钮,M7 回归与影响分析,M7-E1,回归包,按功能点生成回归包,P0,MVP,Sprint 3,0.5,M7-S01,前端,点击按钮触发回归包生成；成功/失败有toast提示,待开始
Story,M7-S03,[M7-S03] 回归包预览展示,M7 回归与影响分析,M7-E1,回归包,按功能点生成回归包,P0,MVP,Sprint 3,0.5,M7-S02,前端,可预览回归用例列表；可跳转资产库回归包视图,待开始
Story,M7-S04,[M7-S04] 按接口反查功能点与用例,M7 回归与影响分析,M7-E2,影响分析,接口/代码变更影响反查,P1,二期,Backlog,1,M3-S03,全栈,输入api返回关联功能点与用例；可从技术映射跳转,待开始
Story,M7-S05,[M7-S05] 导出回归清单 Excel/JSON,M7 回归与影响分析,M7-E2,影响分析,接口/代码变更影响反查,P1,二期,Backlog,1,M7-S01,全栈,回归包可导出文件；字段含用例ID/名称/优先级/接口,待开始
Story,M8-S01,[M8-S01] 总览检索增加「打开地图」入口,M8 平台入口与集成,M8-E1,入口改造,从各入口进入功能点地图,P0,MVP,Sprint 2,0.5,M1-S08,前端,总览卡片/列表可进入功能点地图；携带正确featureKey,待开始
Story,M8-S02,[M8-S02] 正式资产库增加「打开地图」入口,M8 平台入口与集成,M8-E1,入口改造,从各入口进入功能点地图,P0,MVP,Sprint 2,0.5,M1-S08,前端,资产库功能点行可打开地图；预填domain/app/scene/feature,待开始
Story,M8-S03,[M8-S03] 新增地图页路由,M8 平台入口与集成,M8-E1,入口改造,从各入口进入功能点地图,P0,MVP,Sprint 1,0.5,M1-S01,前端,路由/maps/features/:featureKey；刷新页面数据不丢失,待开始
Story,M8-S04,[M8-S04] 评审入库后地图刷新,M8 平台入口与集成,M8-E2,数据联动与下游,平台联动与下游消费,P1,二期,Backlog,1,M1-S04,前端,评审确认后地图用例数更新；无需手动刷新,待开始
Story,M8-S05,[M8-S05] 实现 ConsumerPanel 静态说明,M8 平台入口与集成,M8-E2,数据联动与下游,平台联动与下游消费,P1,二期,Backlog,0.5,,前端,展示自动化/造数/代码分析/质量报告消费说明,待开始
Story,M8-S06,[M8-S06] 下游平台消费 API 设计,M8 平台入口与集成,M8-E2,数据联动与下游,平台联动与下游消费,P2,二期,Backlog,1,M7-S01,后端,提供下游按featureKey拉回归集API文档；与自动化平台确认字段,待开始
Story,M9-S01,[M9-S01] 从 DTO 推导 graph.nodes/edges,M9 图谱可视化,M9-E1,图数据与引擎,图谱模式基础能力,P2,二期,Backlog,1,M1-S04,后端,功能点/场景/用例/接口转为节点；覆盖/依赖关系转为边,待开始
Story,M9-S02,[M9-S02] 接入图引擎（G6/React Flow）,M9 图谱可视化,M9-E1,图数据与引擎,图谱模式基础能力,P2,二期,Backlog,2,M9-S01,前端,图谱可渲染可缩放；30节点内交互流畅,待开始
Story,M9-S03,[M9-S03] 中心辐射布局,M9 图谱可视化,M9-E1,图数据与引擎,图谱模式基础能力,P2,二期,Backlog,1,M9-S02,前端,功能点居中；业务/技术节点辐射分布,待开始
Story,M9-S04,[M9-S04] 节点点击详情抽屉,M9 图谱可视化,M9-E2,图谱交互与全景,图谱交互与领域全景,P2,二期,Backlog,1,M9-S02,前端,点击节点展示详情；可跳转资产库/影响分析,待开始
Story,M9-S05,[M9-S05] 布局版与图谱版切换,M9 图谱可视化,M9-E2,图谱交互与全景,图谱交互与领域全景,P2,二期,Backlog,0.5,M9-S02,前端,用户可切换布局模式/图谱模式,待开始
Story,M9-S06,[M9-S06] 领域全景地图（流程节点级）,M9 图谱可视化,M9-E2,图谱交互与全景,图谱交互与领域全景,P2,二期,Backlog,5,M9-S01,前端,报价域全流程节点网络可浏览；节点显示覆盖状态与缺口,待开始
