Story ID,标题,模块编码,模块名称,波次,优先级,估时,依赖,原型状态,开发状态,验收标准
E-06,businessView 资产链组装,E,功能点地图引擎,W0-W2,P0,2d,"E-04,C-07",已验证,待开发,场景、正式用例、脚本、数据模板、执行记录字段完整
E-07,techView/riskView/summary 组装,E,功能点地图引擎,W0-W2,P0,2d,"E-04,D-03,I-01",部分,待开发,技术映射、规则风险、质量摘要来自正式服务而非前端推算
E-08,功能点地图查询 API,E,功能点地图引擎,W0-W2,P0,1d,E-04,部分,待开发,GET /api/v1/feature-maps/{featureKey}；200/404 与 OpenAPI 一致
E-09,无样例功能点合成地图,E,功能点地图引擎,W0-W2,P0,2d,E-04,已验证,待开发,造价审核等无预制样例功能点可按正式资产+主数据动态生成
E-10,来源、置信度和 stale 状态,E,功能点地图引擎,W0-W2,P1,1d,"E-04,D-07",部分,待开发,meta.dataSources 完整；低置信节点 review；主数据变更后 stale
F-01,功能点详情路由与 Header,F,功能点详情三视图,W3,P0,1d,"A-01,E-08",已验证,待开发,URL 含 featureKey；面包屑、标题、回总览/全景/资产可用
F-02,经典视图业务脊柱,F,功能点详情三视图,W3,P0,1d,"F-01,E-05",已验证,待开发,域/系统/功能点/场景/价值标签和邻接功能点正确展示
F-03,场景与用例列,F,功能点详情三视图,W3,P0,2d,"F-01,E-06",已验证,待开发,场景计数、用例 ID/名称/P 级；场景选择过滤用例
F-04,脚本、数据、执行列,F,功能点详情三视图,W3,P0,2d,"F-01,E-06",已验证,待开发,mock 与真实来源有标记；执行状态不伪装成实时数据
F-05,技术映射展示带,F,功能点详情三视图,W3,P0,2d,"F-01,E-07",已验证,待开发,应用、流程节点、接口、存储/消息展示；来源可见
F-06,风险、规则与质量侧栏,F,功能点详情三视图,W3,P0,2d,"F-01,E-07",已验证,待开发,规则、缺陷、标签、质量摘要与后端 DTO 一致
F-07,布局地图视图,F,功能点详情三视图,W3,P0,2d,"F-03,F-04",已验证,待开发,场景→用例→脚本/数据/执行布局；选择路径高亮
F-08,DTO 转图谱节点与边,F,功能点详情三视图,W3,P0,2d,"E-03,E-08",已验证,待开发,功能点/邻接/场景/用例/脚本/API/规则/缺陷全部可投影
F-09,Cytoscape 图谱交互,F,功能点详情三视图,W3,P0,3d,"F-08,A-05",已验证,待开发,中心辐射/力导向/树/环布局；缩放、邻域、隔离、边标签
F-10,三视图切换与状态一致性,F,功能点详情三视图,W3,P0,1d,"F-02,F-07,F-09",已验证,待开发,classic/map/graph 切换保持 featureKey、选中场景和用例
G-01,平台级领域全景 API,G,平台/领域/应用全景,W4,P0,2d,"A-02,D-04",已验证,待开发,返回 6 领域及跨域边；只读投影
G-02,领域级应用全景,G,平台/领域/应用全景,W4,P0,2d,G-01,已验证,待开发,领域→应用下钻；应用数量和覆盖摘要正确
G-03,应用级流程节点网络,G,平台/领域/应用全景,W4,P0,3d,"G-02,D-04,C-06",已验证,待开发,流程节点、边、覆盖状态、用例数和缺口数来自正式数据
G-04,全景相机与面包屑,G,平台/领域/应用全景,W4,P0,2d,G-01,已验证,待开发,平移、缩放、复位、三级面包屑可用
G-05,节点详情抽屉,G,平台/领域/应用全景,W4,P0,2d,"G-03,F-01",已验证,待开发,仅投影已确认资产；用例和功能点可打开对应详情
G-06,全景回归包入口,G,平台/领域/应用全景,W4,P1,1d,"G-05,H-04",部分,待开发,支持领域/应用/节点级生成回归候选并标记范围
H-01,总览级联检索,H,检索、回归与影响,W4-W5,P0,3d,"C-06,A-02",已验证,待开发,领域→应用→模块→功能点→场景；面包屑可回任意层
H-02,功能点详情多维搜索,H,检索、回归与影响,W4-W5,P0,2d,"F-03,F-05",已验证,待开发,用例/功能点/场景/接口/综合过滤；命中数正确
H-03,正式资产命中与深链,H,检索、回归与影响,W4-W5,P0,1d,"H-01,F-01",已验证,待开发,搜索结果可跳转资产生产第三步或功能点详情
H-04,按筛选范围生成回归包,H,检索、回归与影响,W4-W5,P0,2d,C-06,已验证,待开发,支持功能点/节点/应用/领域；只引用正式资产
H-05,回归包预览与分组,H,检索、回归与影响,W4-W5,P0,1d,H-04,已验证,待开发,按功能点分组，展示 ID/名称/P 级/接口/基线
H-06,CSV/Excel/JSON 导出,H,检索、回归与影响,W4-W5,P0,2d,H-05,部分,待开发,导出字段完整；带范围、基线和生成时间
H-07,接口/需求/代码变更影响,H,检索、回归与影响,W4-W5,P0,3d,"D-03,H-04",已验证,待开发,输入变更返回受影响功能点、用例、缺口和建议回归包
I-01,用例数、P 级、自动化、缺口统计,I,质量、风险与健康,W3-W5,P0,2d,C-06,部分,待开发,服务端统一口径；禁止前端按样例比例推算
I-02,规则与风险标签服务,I,质量、风险与健康,W3-W5,P0,2d,"D-02,E-04",部分,待开发,返回规则 ID/名称/来源和可解释风险标签
I-03,缺陷关联与近 30 天指标,I,质量、风险与健康,W3-W5,P1,2d,E-04,部分,待开发,mock 明确标识；预留真实缺陷系统适配器
I-04,地图健康看板,I,质量、风险与健康,W3-W5,P0,3d,"I-01,C-02",已验证,待开发,挂载准确率、覆盖率、缺口、低置信待抽检可下钻
I-05,运营建议与异常阈值,I,质量、风险与健康,W3-W5,P1,1d,I-04,已验证,待开发,指标触发建议；阈值可配置并保留口径说明
J-01,用例版本与生效版本唯一,J,版本、同步与平台治理,W5,P0,3d,C-05,已验证,待开发,同一 caseId 仅一个 ACTIVE；并发切换可检测
J-02,基线发布与历史归档,J,版本、同步与平台治理,W5,P0,2d,"J-01,A-03",已验证,待开发,发布 BL-*；回归包锁定基线；归档不丢历史
J-03,生命周期管理页面,J,版本、同步与平台治理,W5,P0,2d,"C-05,J-01",已验证,待开发,筛选、归档、废弃、恢复；非法操作提示明确
J-04,同步源配置,J,版本、同步与平台治理,W5,P1,2d,"A-02,A-03",已验证,待开发,质保/知识库/需求三源配置，密钥不回显
J-05,全量/增量同步任务,J,版本、同步与平台治理,W5,P1,3d,"J-04,B-08",已验证,待开发,可重试、可审计、冲突挂起；不直接覆盖已发布资产
J-06,同步冲突与日志时间线,J,版本、同步与平台治理,W5,P1,2d,J-05,已验证,待开发,冲突计数、详情、处理结论和任务日志可追溯
J-07,回归下发与执行结果回写,J,版本、同步与平台治理,W5,P1,3d,"H-05,J-02",部分,待开发,下发记录带基线；失败结果不自动改挂载，只影响健康指标
