用例ID,用例名称,优先级,领域,应用,流程节点,功能点,测试场景,前置,步骤,预期,关联接口,缺口来源,匹配依据,关联规则,关联状态,关联字段,置信度,处理建议,确认状态,数据来源
CA-G11,审核通过时金额不合规应拦截并回滚,P0,家装,报价,造价提交与审核,金额合规校验,造价单审核-缺口,待审核造价单；明细金额之和与总金额差超过1元（或含税单价换算超差）,"1.执行审核通过。
2.触发 check 金额合规校验。","1.抛异常不落库。
2.SKU 审核记录与状态回滚，造价单仍为待审核。",DesignCostService#checkDesignCost → check(金额校验),造价审核接口&上下游清单&数据库.md,MD 方向1§六 金额校验失败回滚,±1元容差；买卖线排除租赁后再比总价,保持 SUBMITED,"totalPrice,明细含税单价/数量",78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G12,审核通过后发送造价单状态变更MQ,P1,家装,报价,造价提交与审核,审核下游通知,造价单审核-缺口,审核通过或驳回成功落库,"1.完成 checkDesignCost。
2.监听 designCostExchange 消息。",发送含 designCostCode/productId/checkStatus/remark/userCode 的状态变更消息。,sendCheckResultOfDesignCost → designCostExchange,造价审核接口&上下游清单&数据库.md,MD 方向1§七.② MQ 状态广播,,PASS/REJECT,check_status,78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G13,长租锁库存版本通过后触发库存预占事件,P1,家装,报价,造价提交与审核,审核下游通知,造价单审核-缺口,长租锁库存版本审核通过,"1.审核通过。
2.观察 EventBus DesignLockStockEvent。",异步发送 DesignLockStockEvent 预占库存。,handlePassDesignCost → DesignLockStockEvent,造价审核接口&上下游清单&数据库.md,MD 方向1§七.③ 预占库存,judgeNeedLockStockAndExpire,PASS,,78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G14,人工审核通过后生成ZD评价单,P2,家装,报价,造价提交与审核,审核下游通知,造价单审核-缺口,"人工审核通过（autoCheck=false, PASS）","1.人工审核通过。
2.查询 jz_design_cost_evaluate / EvaluateAdaptor。",异步生成 ZD 评价审核员评价单（约48h有效）。,passDetail → generateZDEvaluateCostApprove / EvaluateAdaptor.evaluateCreate,造价审核接口&上下游清单&数据库.md,MD 方向1§二 人工PASS才生成评价单；自动审核跳过,autoCheck=false,PASS,evaluate_state,78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G15,驳回且存在ZD码时发送企微通知,P2,家装,报价,造价提交与审核,人工审核驳回,造价单审核-缺口,造价单可驳回且关联 ZD 码,"1.审核驳回 REJECT。
2.检查企微消息。",发送「造价审核单被驳回」企微通知给 ZD。,checkDesignCost(REJECT) → sendWecom,造价审核接口&上下游清单&数据库.md,MD 方向1§七.④ 驳回企微,REJECT + ZD,SUBMITED → REJECT,"reject_reason,check_log",78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G16,AI房源品质审核中禁止造价审核通过,P1,家装,报价,造价提交与审核,前置评级校验,造价单审核-缺口,整租且非心舍毛改；HouseQualityAdaptor 返回 isAuditing=true,1.审核专员点击审核通过。,前置校验拦截，禁止通过。,HouseQualityAdaptor.batchGradeByOppIdsAndSource,造价审核接口&上下游清单&数据库.md,MD 方向1§二 AI 评级审核中阻断,整租前置强校验,保持 SUBMITED,,78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G17,改前评级状态为AUDITING时禁止造价审核通过,P1,家装,报价,造价提交与审核,前置评级校验,造价单审核-缺口,定制/标准溢价场景；改前评级单状态 AUDITING,1.尝试审核通过。,提示请先完成改前评级审核，禁止通过。,QualityRatingAdaptor.getBeforeOrderBatch,造价审核接口&上下游清单&数据库.md,MD 方向1§二 QUALITY_RATING / AUDITING 阻断,QUALITY_RATING_ORDER_INVALID,保持 SUBMITED,,78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G18,自动审核跳过前置评级并直接明细PASS,P1,家装,报价,造价提交与审核,自动审核判定,造价单审核-缺口,命中自动审核；对比人工通过路径,"1.触发 autoSubmitDesignCost / autoCheck=true。
2.检查明细与前置评级调用。","1.不走前置评级强校验。
2.全部明细 check_status=PASS，并写入 design_cost_detail_check。",autoSubmitDesignCost → saveDesignCostDetailCheck,造价审核接口&上下游清单&数据库.md,MD 方向1§二/备注2 自动审核跳过前置、明细全PASS,autoCheck=true,→ PASS,"jz_design_cost_detail.check_status,design_cost_detail_check",78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G19,人工驳回写入SKU明细审核记录,P2,家装,报价,造价提交与审核,人工审核驳回,造价单审核-缺口,人工驳回且传入 designCostDetailChecks,"1.驳回时勾选/传入明细审核记录。
2.落库后查询 design_cost_detail_check。",批量保存明细审核记录并更新 SKU 审核状态；若未传 designCostDetailChecks 则仅改主表。,checkDesignCost(REJECT) + designCostDetailChecks,造价审核接口&上下游清单&数据库.md,MD 方向1§二/备注3 驳回写SKU记录条件,,REJECT,design_cost_detail_check,78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G20,非审核有效时段提交/审核的行为符合规则,P2,家装,报价,造价提交与审核,审核时效,造价单审核-缺口,当前时间不在 9:00–22:00（AUDIT_VALID_START/END）,1.在无效时段尝试列表处理或审核动作（按产品规则）。,按产品约定拦截或提示不在审核有效时间段（需产品确认具体交互）。,DesignCostAuditConstant.AUDIT_VALID_START/END,造价审核接口&上下游清单&数据库.md,MD§四 审核有效时间段 9:00–22:00,AUDIT_VALID_START/END,,,78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G21,check_log追加记录审核人状态时间意见金额驳回原因,P2,家装,报价,造价提交与审核,造价单状态流转,造价单审核-缺口,执行一次通过或驳回,"1.审核通过或驳回。
2.查看 jz_design_cost.check_log。",追加 JSON：u审核人、o状态码、t时间、i意见、p金额、r驳回原因（字典翻译）。,checkDesignCost 写 check_log,造价审核接口&上下游清单&数据库.md,MD 方向1§五 check_log 字段,,PASS/REJECT,"check_log,reject_reason",78,人工确认后入库,待确认,AI缺口·MD覆盖比对
CA-G22,列表批量填充外部系统字段成功,P3,家装,报价,造价提交与审核,审核列表与详情,造价单审核-缺口,列表中单据关联资产增益/AI品质/改前评级/人员,"1.打开 findList。
2.核对外部字段回显。",批量调用 Archive/HouseQuality/QualityRating/LfOrder/Person 等填充方案状态、品质、审核人姓名等。,GET /costAudit/findList 下游批量填充,造价审核接口&上下游清单&数据库.md,MD§五.1 列表批量外部调用；§六上下游表,,,"label,evaluate_state,audit_user_name",78,人工确认后入库,待确认,AI缺口·MD覆盖比对
